ALEPH_1996_S3486095_d17-x01-y01,counts_error,xedges
0.0477,0.0014212670403551896,0.2
0.0915,0.002475883680627989,0.3
0.1483,0.0035,0.4
0.2283,0.005024937810560445,0.5
0.332,0.007155417527999327,0.6
0.4514,0.010101980003939822,0.7
0.5971,0.013502962637880622,0.8
0.7699,0.014832734070291965,0.9
0.9605,0.013067899601695753,1.0
1.169,0.012529964086141668,1.1
1.413,0.0147648230602334,1.2
1.653,0.01746424919657298,1.3
1.905,0.01969771560359221,1.4
2.199,0.022472205054244233,1.5
2.473,0.025632011235952594,1.6
2.757,0.026570660511172847,1.7
3.043,0.026925824035672525,1.8
3.337,0.026925824035672525,1.9
3.653,0.0291547594742265,2.0
3.913,0.0291547594742265,2.1
4.211,0.0291547594742265,2.2
4.509,0.030463092423455636,2.3
4.747,0.032310988842807024,2.4
4.975,0.03361547262794322,2.5
5.24,0.03269556544854363,2.6
5.431,0.03178049716414141,2.7
5.668,0.030870698080866264,2.8
5.863,0.0295296461204668,2.9
6.054,0.03130495168499706,3.0
6.124,0.03220248437620924,3.1
6.269,0.034014702703389896,3.2
6.377,0.0331058907144937,3.3
6.474,0.030886890422961,3.4
6.455,0.028653097563788806,3.5
6.503,0.03001666203960727,3.6
6.497,0.030886890422961,3.7
6.436,0.030886890422961,3.8
6.338,0.03220248437620924,3.9
6.149,0.035846896657869845,4.0
6.062,0.03676955262170047,4.1
5.899,0.035846896657869845,4.2
5.698,0.035846896657869845,4.3
5.554,0.03676955262170047,4.4
5.127,0.0401621712560464,4.5
4.778,0.04684015371452147,4.6
4.641,0.05263078946776306,4.7
4.19,0.05629387178015028,4.8
3.772,0.06216912416947821,4.9
3.358,0.047296934361541865,5.0
2.951,0.06789698078707182,5.1
2.565,0.22722015755649852,5.2
2.185,0.6900724599634447,5.3
0.0,0.0,5.4
