ATLAS_2010_I882098_d10-x01-y01,counts_error,xedges
1.483,0.044,0.5
0.9568,0.028000714276603732,0.6
0.6378,0.01880026595556563,0.7
0.4364,0.012800390619039717,0.8
0.3054,0.008900561780022652,0.9
0.2178,0.006400781202322104,1.0
0.1582,0.0046,1.1
0.1163,0.0034,1.2
0.08688,0.002530177859360879,1.3
0.06547,0.001910104709171725,1.4
0.04996,0.0014601369798755183,1.5
0.0384,0.0011200446419674529,1.6
0.02984,0.0008700574693662483,1.7
0.02341,0.0006800735254367722,1.8
0.01843,0.000540092584655631,1.9
0.01463,0.00043011626335213136,2.0
0.0117,0.000340147027033899,2.1
0.009385,0.00027304578370668903,2.2
0.007598,0.00022205629916757598,2.3
0.006195,0.00018204395073717774,2.4
0.004381,0.00012703542812932147,2.5
0.002729,7.90253124005214e-05,2.75
0.001746,5.1009802979427395e-05,3.0
0.00114,3.3015148038438355e-05,3.25
0.0006419,1.8506755523321746e-05,3.5
0.0003103,9.00499861188218e-06,4.0
0.0001612,4.804164859785726e-06,4.5
6.973e-05,2.0729206448873047e-06,5.0
2.506e-05,7.117583859709698e-07,6.0
1.059e-05,3.114482300479487e-07,7.0
4.933e-06,3.2344705903748764e-07,8.0
2.53e-06,1.6037767924496228e-07,9.0
6.136e-07,6.724284348538512e-08,10.0
6.851e-08,7.237990052493855e-09,15.0
9.516e-09,1.2616124603062543e-09,20.0
6.63e-10,7.716994233508277e-11,30.0
0.0,0.0,50.0
