EHS_1988_I265504_d06-x01-y01,counts_error,xedges
561.0, 5.0, 0.0
425.0, 4.0, 0.02
325.0, 4.0, 0.04
265.0, 4.0, 0.06
217.0, 3.0, 0.08
175.0, 3.0, 0.1
149.0, 3.0, 0.12
121.0, 2.0, 0.14
107.0, 2.0, 0.16
92.0, 2.0, 0.18
72.0, 1.0, 0.2
53.0, 1.0, 0.25
38.9, 0.8, 0.3
31.1, 0.7, 0.35
24.9, 0.6, 0.4
19.5, 0.5, 0.45
15.9, 0.5, 0.5
12.5, 0.4, 0.55
10.1, 0.4, 0.6
8.7, 0.3, 0.65
7.1, 0.3, 0.7
6.8, 0.3, 0.75
5.5, 0.3, 0.8
3.9, 0.2, 0.85
3.4, 0.2, 0.9
3.3, 0.2, 0.95
2.68, 0.14, 1.0
2.15, 0.12, 1.1
1.49, 0.1, 1.2
1.23, 0.09, 1.3
0.97, 0.08, 1.4
0.69, 0.06, 1.5
0.6, 0.06, 1.6
0.53, 0.06, 1.7
0.5, 0.06, 1.8
0.33, 0.05, 1.9
0.32, 0.03, 2.0
0.141, 0.021, 2.2
0.157, 0.023, 2.4
0.113, 0.027, 2.6
0.071, 0.018, 2.8
0.042, 0.011, 3.0
0.031, 0.008, 3.4
0.014, 0.004, 3.8
0.011, 0.004, 4.2
0.007, 0.003, 4.6
0.0, 0.0, 5.0
