L3_2004_I652683_d65-x01-y02,counts_error,xedges
0.018,0.001414213562373095,0.0
0.101,0.00608276253029822,0.2
0.256,0.015132745950421555,0.4
0.471,0.018248287590894658,0.6
0.767,0.02531797780234433,0.8
1.142,0.0304138126514911,1.0
1.582,0.028442925306655785,1.2
2.077,0.026683328128252668,1.4
2.599,0.0147648230602334,1.6
3.092,0.027202941017470887,1.8
3.536,0.0565685424949238,2.0
4.035,0.06661080993352356,2.2
4.458,0.07553806987208503,2.4
4.884,0.08558621384311846,2.6
5.261,0.10945775440780794,2.8
5.61,0.09751410154434076,3.0
5.829,0.11154371340420759,3.2
5.965,0.122494897852931,3.4
6.024,0.11851160280748885,3.6
5.976,0.10756393447619884,3.8
5.805,0.10060318086422516,4.0
5.519,0.0916624241442479,4.2
5.1,0.08161494961096281,4.4
4.534,0.06576473218982953,4.6
3.817,0.08050465825031494,4.8
3.18,0.049819674828324605,5.0
2.579,0.07156814934033155,5.2
1.927,0.08050465825031494,5.4
1.406,0.21539266468475662,5.6
0.795,0.12,5.8
0.489,0.10489041900955492,6.0
0.318,0.07778174593052023,6.2
0.204,0.07212489168102784,6.4
0.132,0.07355270219373317,6.6
0.086,0.07071067811865477,6.8
0.06,0.10492378186092989,7.0
0.044,0.054451813560247926,7.2
0.034,0.0304138126514911,7.4
0.019,0.05556977595779922,7.6
0.021,0.001414213562373095,7.8
0.0,0.0,8.0
