BEGIN HISTO1D ATLAS_2010_I882098_d17-x01-y01
0.5 0.08238845 0.0003521035
1.5 0.1047134 0.0003969523
2.5 0.1176275 0.0004207185
3.5 0.1151732 0.0004163062
4.5 0.1035232 0.0003946898
5.5 0.08781019 0.0003635044
6.5 0.07191515 0.0003289632
7.5 0.05863543 0.0002970416
8.5 0.04703956 0.0002660534
9.5 0.03795819 0.0002389956
10.5 0.03058023 0.0002145149
11.5 0.02498996 0.0001939188
12.5 0.02046958 0.0001755059
13.5 0.0169514 0.0001597129
14.5 0.01384853 0.0001443574
15.5 0.01125278 0.0001301269
16.5 0.009243891 0.0001179409
17.5 0.007927205 0.0001092187
18.5 0.006293009 9.731198e-05
19.5 0.005349509 8.9721e-05
20.5 0.004308198 8.051652e-05
21.5 0.003668665 7.43004e-05
22.5 0.003014083 6.734646e-05
23.5 0.002488914 6.119868e-05
24.5 0.002040488 5.541204e-05
25.5 0.001795208 5.1975e-05
26.5 0.001578519 4.873736e-05
27.5 0.001202323 4.253512e-05
28.5 0.001062378 3.998312e-05
29.5 0.000817098 3.506503e-05
30.5 0.0007222965 3.296818e-05
31.5 0.0005030996 1.58856e-05
34.5 0.0002479885 8.639088e-06
39.5 7.102583e-05 3.269229e-06
49.5 1.128588e-05 1.303182e-06
59.5 2.708612e-06 6.38426e-07
69.5 9.028707e-07 3.685954e-07
79.5 7.523922e-08 7.523922e-08
99.5 7.16564e-08 7.16564e-08
120.5 0 0
END

BEGIN HISTO1D ATLAS_2010_I882098_d10-x01-y01
0.5 1.20491 0.00103026
0.6 0.6740267 0.0007081054
0.7 0.3803385 0.000494736
0.8 0.222656 0.0003553101
0.9 0.1362017 0.0002627117
1.0 0.08790173 0.0002006484
1.1 0.05906515 0.0001571107
1.2 0.04106255 0.0001256164
1.3 0.02905691 0.0001016661
1.4 0.02134623 8.406341e-05
1.5 0.01580143 6.994434e-05
1.6 0.0118392 5.866848e-05
1.7 0.009024407 4.973799e-05
1.8 0.007008091 4.262668e-05
1.9 0.005468989 3.667478e-05
2.0 0.004288628 3.167531e-05
2.1 0.003450253 2.774067e-05
2.2 0.002803499 2.444037e-05
2.3 0.002251333 2.143318e-05
2.4 0.001833328 1.89419e-05
2.5 0.001319299 9.837191e-06
2.75 0.0008333794 7.467362e-06
3.0 0.0005408924 5.768444e-06
3.25 0.0003668645 4.57045e-06
3.5 0.0002137535 2.347699e-06
4.0 0.0001082951 1.568405e-06
4.5 5.7483e-05 1.079911e-06
5.0 2.847454e-05 5.027046e-07
6.0 1.018607e-05 2.75867e-07
7.0 4.733727e-06 1.748561e-07
8.0 2.517646e-06 1.196884e-07
9.0 1.070528e-06 7.373236e-08
10.0 3.041472e-07 1.600078e-08
15.0 3.746318e-08 4.661735e-09
20.0 5.935371e-09 1.108308e-09
30.0 4.788161e-10 1.830408e-10
50.0 0 0
END

BEGIN HISTO1D L3_2004_I652683_d59-x01-y02
1.0 5.117943e-06 2.558971e-06
3.0 6.397429e-05 9.04733e-06
5.0 0.0004759687 2.467783e-05
7.0 0.002226305 5.337158e-05
9.0 0.008055642 0.0001015238
11.0 0.02192783 0.0001675003
13.0 0.04605125 0.0002427384
15.0 0.07745623 0.0003148081
17.0 0.1053925 0.0003672169
19.0 0.1226617 0.0003961615
21.0 0.1239144 0.0003981792
23.0 0.1133407 0.000380812
25.0 0.09653592 0.0003514489
27.0 0.07839793 0.000316716
29.0 0.06021772 0.0002775747
31.0 0.04545885 0.000241172
33.0 0.03279322 0.0002048376
35.0 0.02285034 0.0001709874
37.0 0.01538838 0.0001403182
39.0 0.0101975 0.0001142259
